from_address,to_addresss,weight,distance,delivery_req,shipping_costs,ratings,otds,best_shipping_cost,carrier_ServiceType
98547,98547,4.67,0.0,3,"[4.67, 4.67, 25.67, 4.67, 21.67, 4.67, 25.67]","[0, 0, 10, 0, 6, 0, 9]","[0, 0, 0.97, 0, 0.9, 0, 0.97]",25.67,FEDEX_EXPRESS_SAVER
98547,28728,10.61,3637.229680410543,1,"[99.85819786940363, 70.85819786940363, 55.858197869403625, 94.85819786940363, 51.858197869403625, 67.85819786940363, 55.858197869403625]","[10, 10, 10, 7, 6, 8, 9]","[0.99, 0.99, 0.97, 0.9, 0.9, 0.96, 0.97]",70.85819786940363,FEDEX_FEDEX_GROUND
98547,45374,66.94,3268.823938421087,1,"[153.7321595894739, 124.73215958947391, 109.73215958947391, 148.7321595894739, 105.73215958947391, 121.73215958947391, 109.73215958947391]","[10, 10, 10, 7, 6, 8, 9]","[0.99, 0.99, 0.97, 0.9, 0.9, 0.96, 0.97]",124.73215958947391,FEDEX_FEDEX_GROUND
98547,17862,4.68,3772.3000999613296,3,"[29.828667333075533, 29.828667333075533, 50.828667333075536, 29.828667333075533, 46.828667333075536, 29.828667333075533, 50.828667333075536]","[0, 0, 10, 0, 6, 0, 9]","[0, 0, 0.97, 0, 0.9, 0, 0.97]",29.828667333075533,FEDEX_FEDEX_GROUND
98547,59244,66.07,1343.820878185243,3,"[75.02880585456828, 75.02880585456828, 96.02880585456828, 75.02880585456828, 92.02880585456828, 75.02880585456828, 96.02880585456828]","[0, 0, 10, 0, 6, 0, 9]","[0, 0, 0.97, 0, 0.9, 0, 0.97]",75.02880585456828,FEDEX_FEDEX_GROUND
98547,22125,16.22,3869.0569159443735,1,"[107.01371277296249, 78.01371277296249, 63.01371277296249, 102.01371277296249, 59.01371277296249, 75.01371277296249, 63.01371277296249]","[10, 10, 10, 7, 6, 8, 9]","[0.99, 0.99, 0.97, 0.9, 0.9, 0.96, 0.97]",78.01371277296249,FEDEX_FEDEX_GROUND
98547,72466,23.16,2956.504748826,1,"[107.87003165883999, 78.87003165884, 63.870031658840006, 102.87003165883999, 59.870031658840006, 75.87003165884, 63.870031658840006]","[10, 10, 10, 7, 6, 8, 9]","[0.99, 0.99, 0.97, 0.9, 0.9, 0.96, 0.97]",78.87003165884,FEDEX_FEDEX_GROUND
98547,92623,47.69,1553.1691033366883,3,"[58.04446068891126, 58.04446068891126, 79.04446068891126, 58.04446068891126, 75.04446068891126, 58.04446068891126, 79.04446068891126]","[0, 0, 10, 0, 6, 0, 9]","[0, 0, 0.97, 0, 0.9, 0, 0.97]",58.04446068891126,FEDEX_FEDEX_GROUND
98547,49341,78.87,3031.8690600553996,3,"[99.08246040036934, 99.08246040036934, 120.08246040036934, 99.08246040036934, 116.08246040036934, 99.08246040036934, 120.08246040036934]","[0, 0, 10, 0, 6, 0, 9]","[0, 0, 0.97, 0, 0.9, 0, 0.97]",99.08246040036934,FEDEX_FEDEX_GROUND
98547,66629,41.8,2453.1840532005504,1,"[123.15456035467034, 94.15456035467034, 79.15456035467034, 118.15456035467034, 75.15456035467034, 91.15456035467034, 79.15456035467034]","[10, 10, 10, 7, 6, 8, 9]","[0.99, 0.99, 0.97, 0.9, 0.9, 0.96, 0.97]",94.15456035467034,FEDEX_FEDEX_GROUND
