from_address,to_addresss,weight,distance,costs,shipping_cost,carrier_ServiceType
22936,22936,82,0.0,"[186.848, 101.448, 96.848, 133.55200000000002, 95.708, 139.244, 100.404]",94.53999999999999,UPS_WORLDWIDE_EXPRESS_SAVER
22936,92623,104,3548.481211124708,"[255.3328121112471, 147.1045414074981, 142.50454140749807, 178.32854140749808, 140.70454140749806, 184.24054140749806, 144.96054140749803]",147.65654140749805,FEDEX_FEDEX_GROUND
22936,75479,72,1683.4331020369111,"[188.68233102036913, 102.67088734691274, 98.07088734691274, 135.17488734691275, 97.23088734691275, 140.76688734691277, 102.12688734691274]",103.22288734691274,FEDEX_FEDEX_GROUND
22936,52079,92,1135.8119192873228,"[213.20611919287325, 119.02007946191547, 114.42007946191548, 150.7240794619155, 112.9800794619155, 156.51607946191547, 117.47607946191549]",119.57207946191548,FEDEX_FEDEX_GROUND
22936,79091,120,2132.407391072327,"[265.17207391072327, 153.66404927381555, 149.06404927381553, 184.24804927381552, 146.78404927381553, 190.32004927381553, 150.7200492738155]",145.61604927381552,UPS_WORLDWIDE_EXPRESS_SAVER
22936,19734,64,278.9263763550808,"[162.63726376355083, 85.30750917570053, 80.70750917570054, 118.13150917570053, 80.10750917570054, 123.64350917570054, 85.16350917570054]",78.93950917570054,UPS_WORLDWIDE_EXPRESS_SAVER
22936,40815,140,450.31091746979234,"[278.3511091746979, 162.450072783132, 157.85007278313196, 192.23407278313198, 154.97007278313194, 198.50607278313194, 158.50607278313194]",153.80207278313193,UPS_WORLDWIDE_EXPRESS_SAVER
22936,15322,114,241.73996678494493,"[237.26539966784947, 135.05959977856634, 130.45959977856631, 165.88359977856632, 128.3595997785663, 171.8955997785663, 132.4155997785663]",127.1915997785663,UPS_WORLDWIDE_EXPRESS_SAVER
22936,72466,136,1155.3583251150108,"[279.40158325115016, 163.1503888341001, 158.5503888341001, 193.0943888341001, 155.79038883410007, 199.32638883410007, 159.40638883410006]",154.62238883410006,UPS_WORLDWIDE_EXPRESS_SAVER
22936,93616,102,3604.3459413305764,"[252.89145941330577, 145.47697294220387, 140.87697294220385, 176.78097294220387, 139.13697294220384, 182.67297294220384, 143.43297294220383]",137.96897294220383,UPS_WORLDWIDE_EXPRESS_SAVER
22936,41268,138,378.16968872941385,"[274.6296968872942, 159.96913125819611, 155.3691312581961, 189.83313125819612, 152.5491312581961, 196.0851312581961, 156.1251312581961]",151.3811312581961,UPS_WORLDWIDE_EXPRESS_SAVER
22936,52501,16,1233.073268623246,"[100.17873268623246, 43.6684884574883, 39.06848845748831, 78.41248845748831, 39.90848845748831, 83.4444884574883, 45.9244884574883]",39.22048845748831,FEDEX_EXPRESS_SAVER
22936,79381,58,2156.971190969727,"[172.4177119096973, 91.82780793979818, 87.22780793979818, 124.89180793979818, 86.80780793979818, 130.34380793979818, 91.98380793979818]",85.63980793979817,UPS_WORLDWIDE_EXPRESS_SAVER
22936,59538,22,2612.2078754592962,"[122.97007875459296, 58.862719169728635, 54.26271916972864, 93.36671916972864, 54.922719169728644, 98.45871916972865, 60.81871916972864]",54.41471916972864,FEDEX_EXPRESS_SAVER
22936,37748,104,588.813479620104,"[225.73613479620104, 127.37342319746735, 122.77342319746735, 158.59742319746738, 120.97342319746735, 164.50942319746736, 125.22942319746737]",119.80542319746735,UPS_WORLDWIDE_EXPRESS_SAVER
22936,60950,42,870.4811277125417,"[135.55281127712544, 67.2512075180836, 62.65120751808361, 100.9552075180836, 62.71120751808361, 106.24720751808363, 68.20720751808362]",62.80320751808361,FEDEX_EXPRESS_SAVER
22936,36103,10,957.7733588297684,"[88.42573358829769, 35.83315572553178, 31.233155725531788, 70.81715572553178, 32.25315572553179, 75.7891557255318, 38.389155725531786]",31.38515572553179,FEDEX_EXPRESS_SAVER
22936,62451,60,798.2887001570169,"[161.83088700157018, 84.76992466771344, 80.16992466771345, 117.75392466771343, 79.68992466771346, 123.22592466771346, 84.82592466771345]",78.52192466771345,UPS_WORLDWIDE_EXPRESS_SAVER
22936,55782,12,1546.8136829467544,"[97.31613682946754, 41.76009121964502, 37.160091219645025, 76.66409121964502, 38.120091219645026, 81.65609121964503, 44.21609121964502]",37.312091219645026,FEDEX_EXPRESS_SAVER
22936,31532,74,813.9096533235632,"[182.98709653323564, 98.87406435549042, 94.27406435549042, 131.29806435549042, 93.37406435549043, 136.91006435549042, 98.23006435549043]",92.20606435549043,UPS_WORLDWIDE_EXPRESS_SAVER
22936,35082,46,889.2610155825915,"[141.74061015582595, 71.3764067705506, 66.77640677055061, 104.9204067705506, 66.7164067705506, 110.2524067705506, 72.13240677055062]",65.5484067705506,UPS_WORLDWIDE_EXPRESS_SAVER
22936,56178,46,1620.2570764400305,"[149.05057076440033, 76.24971384293353, 71.64971384293354, 109.79371384293353, 71.58971384293355, 115.12571384293355, 77.00571384293353]",70.42171384293354,UPS_WORLDWIDE_EXPRESS_SAVER
22936,31917,110,855.2813794171739,"[237.40081379417177, 135.1498758627812, 130.54987586278116, 166.13387586278117, 128.56987586278117, 172.10587586278118, 132.70587586278114]",127.40187586278117,UPS_WORLDWIDE_EXPRESS_SAVER
22936,26167,86,251.7896859437736,"[195.36589685943775, 107.12659790629182, 102.52659790629183, 139.07059790629185, 101.26659790629184, 144.80259790629185, 105.88259790629183]",100.09859790629183,UPS_WORLDWIDE_EXPRESS_SAVER
